HILLARY FOR AMERICA,0.0,415579
HILLARY FOR AMERICA,1.0,1536960
HILLARY FOR AMERICA,2.0,485597
HILLARY FOR AMERICA,3.0,76854
HILLARY FOR AMERICA,4.0,52
BERNIE 2016,0.0,163536
BERNIE 2016,1.0,1124461
BERNIE 2016,2.0,235490
BERNIE 2016,3.0,8551
BERNIE 2016,4.0,8
"DONALD J. TRUMP FOR PRESIDENT, INC",0.0,180
"DONALD J. TRUMP FOR PRESIDENT, INC",1.0,18977
"DONALD J. TRUMP FOR PRESIDENT, INC",2.0,99731
"DONALD J. TRUMP FOR PRESIDENT, INC",3.0,14193
"DONALD J. TRUMP FOR PRESIDENT, INC",4.0,29
"DONALD J. TRUMP FOR PRESIDENT, INC",6.0,5
